Horizon,RMSE,MAE,Macro-F1,PR-AUC
15min,4.884047609798641,3.9078313012429593,0.1894053476713887,0.22484504376201714
30min,4.938983917414314,3.9292440986061816,0.21153964611881443,0.22359721898530127
60min,5.42943293340798,4.384277325225386,0.18171388467400565,0.21896584018861454
