Horizon,RMSE,MAE,Macro-F1,PR-AUC
15min,4.872973279067177,3.9060242845923097,0.21516281564953302,0.21756490014376118
30min,4.941791123131296,3.9341945966011687,0.2090624431081804,0.23294262907392316
60min,5.430519048872892,4.388214523708802,0.17241522007404358,0.2051600465186773
